"submittedname","acceptedname","sourceid","score","matchedname","authority","uri"
"Scilla nutans","Hyacinthoides non-scripta","iPlant_TNRS","1","Scilla nutans","(L.) Chouard","http://www.tropicos.org/Name/18405712"
"Scirpus sylvaticus","Scirpus sylvaticus","iPlant_TNRS","1","Scirpus sylvaticus","L.","http://www.tropicos.org/Name/9904659"
"Trientalis europaea","Trientalis europaea","iPlant_TNRS","1","Trientalis europaea","L.","http://www.tropicos.org/Name/26400102"
"Viola sylvestris","Viola reichenbachiana","iPlant_TNRS","1","Viola sylvestris","Jord. ex Boreau","http://www.tropicos.org/Name/33800075"
"Aconitum napellus","Aconitum napellus","iPlant_TNRS","1","Aconitum napellus","L.","http://www.tropicos.org/Name/27100830"
"Aegopodium podagraria","Aegopodium podagraria","iPlant_TNRS","1","Aegopodium podagraria","L.","http://www.tropicos.org/Name/1700003"
"Agrimonia eupatoria","Agrimonia eupatoria","iPlant_TNRS","1","Agrimonia eupatoria","L.","http://www.tropicos.org/Name/27800017"
"Agrostis alba","Poa nemoralis","iPlant_TNRS","1","Agrostis alba","L.","http://www.tropicos.org/Name/25509897"
"Alchemilla vulgaris","Alchemilla vulgaris","iPlant_TNRS","1","Alchemilla vulgaris","L.","http://www.tropicos.org/Name/27802483"
"Angelica sylvestris","Angelica sylvestris","iPlant_TNRS","1","Angelica sylvestris","L.","http://www.tropicos.org/Name/1700008"
"Anthriscus sylvestris","Anthriscus sylvestris","iPlant_TNRS","1","Anthriscus sylvestris","(L.) Hoffm.","http://www.tropicos.org/Name/1700011"
"Aquilegia vulgaris","Aquilegia vulgaris","iPlant_TNRS","1","Aquilegia vulgaris","L.","http://www.tropicos.org/Name/27100059"
"Arctium nemorosum","Arctium nemorosum","iPlant_TNRS","1","Arctium nemorosum","Lej.","http://www.tropicos.org/Name/2709332"
"Arenaria trinervia","Moehringia trinervia","iPlant_TNRS","1","Arenaria trinervia","(L.) Clairv.","http://www.tropicos.org/Name/6300179"
"Arrhenatherum avenaceum","Arrhenatherum elatius var. elatius","iPlant_TNRS","1","Arrhenatherum avenaceum","","http://www.tropicos.org/Name/25518176"
"Asarum europaeum","Asarum europaeum","iPlant_TNRS","1","Asarum europaeum","L.","http://www.tropicos.org/Name/2500011"
"Asperula odorata","Galium odoratum","iPlant_TNRS","1","Asperula odorata","(L.) Scop.","http://www.tropicos.org/Name/27900095"
"Astragalus glycyphyllos","Astragalus glycyphyllos","iPlant_TNRS","1","Astragalus glycyphyllos","L.","http://www.tropicos.org/Name/13025977"
"Atropa belladonna","Atropa belladonna","iPlant_TNRS","1","Atropa belladonna","L.","http://www.tropicos.org/Name/29600155"
"Ballota nigra","Ballota nigra","iPlant_TNRS","1","Ballota nigra","L.","http://www.tropicos.org/Name/17600025"
"Barbarea vulgaris","Barbarea vulgaris","iPlant_TNRS","1","Barbarea vulgaris","W.T. Aiton","http://www.tropicos.org/Name/4102250"
"Brachypodium sylvaticum","Brachypodium sylvaticum","iPlant_TNRS","1","Brachypodium sylvaticum","(Huds.) P. Beauv.","http://www.tropicos.org/Name/25509357"
"Bromus asper","Bromus ramosus","iPlant_TNRS","1","Bromus asper","Huds.","http://www.tropicos.org/Name/25509406"
"Byronia dioica","","iPlant_TNRS","0.5","Byronia","",""
"Calamintha clinopodium","Clinopodium vulgare","iPlant_TNRS","1","Calamintha clinopodium","L.","http://www.tropicos.org/Name/17600035"
"Campanula latifolia","Campanula latifolia","iPlant_TNRS","1","Campanula latifolia","L.","http://www.tropicos.org/Name/5500536"
"Campanula trachelium","Campanula trachelium","iPlant_TNRS","1","Campanula trachelium","Brot.","http://www.tropicos.org/Name/5501020"
"Carex pendula","Carex pendula","iPlant_TNRS","1","Carex pendula","Huds.","http://www.tropicos.org/Name/9900265"
"Carex sylvatica","Carex sylvatica","iPlant_TNRS","1","Carex sylvatica","Huds.","http://www.tropicos.org/Name/9901746"
"Chaerophyllum temulum","Chaerophyllum temulum","iPlant_TNRS","1","Chaerophyllum temulum","L.","http://www.tropicos.org/Name/1700054"
"Cirsium palustre","Cirsium palustre","iPlant_TNRS","1","Cirsium palustre","(L.) Scop.","http://www.tropicos.org/Name/2702303"
"Colchicum autumnale","Colchicum autumnale","iPlant_TNRS","1","Colchicum autumnale","L.","http://www.tropicos.org/Name/18401617"
"Crepis paludosa","Crepis paludosa","iPlant_TNRS","1","Crepis paludosa","(L.) Moench","http://www.tropicos.org/Name/2700643"
"Dentaria bulbifera","Cardamine bulbifera","iPlant_TNRS","1","Dentaria bulbifera","(L.) Crantz","http://www.tropicos.org/Name/4100089"
"Digitalis purpurea","Digitalis purpurea","iPlant_TNRS","1","Digitalis purpurea","L.","http://www.tropicos.org/Name/29200045"
"Dipsacus sylvestris","Dipsacus fullonum","iPlant_TNRS","1","Dipsacus sylvestris","L.","http://www.tropicos.org/Name/11200089"
"Dipsacus pilosus","Dipsacus pilosus","iPlant_TNRS","1","Dipsacus pilosus","L.","http://www.tropicos.org/Name/11200012"
"Epilobium angustifolium","Epilobium angustifolium","iPlant_TNRS","1","Epilobium angustifolium","L.","http://www.tropicos.org/Name/23200120"
